athlete,HANDS,LOWER_ARMS,UPPER_ARMS,UPPER_TRUNK,MIDDLE_TRUNK,LOWER_TRUNK,PELVIS,HEAD,R_THIGH,R_SHANK,R_FOOT,L_THIGH,L_SHANK,L_FOOT,total_mass
65,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
66,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
67,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
68,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
69,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
70,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
71,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
72,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
73,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
74,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
75,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
76,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
77,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
78,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
79,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
80,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
81,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
82,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
83,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
84,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
85,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
86,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
87,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
88,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
89,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
90,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
91,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
92,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
93,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
94,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
95,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
96,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
97,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
98,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
99,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
100,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
101,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
102,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
103,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
104,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
105,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
106,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
107,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
108,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
109,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
110,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
111,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
112,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
113,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
114,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
115,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
116,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
117,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
118,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
119,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
120,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
121,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
122,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
123,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
124,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
125,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
126,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
127,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
128,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
129,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
130,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
131,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
132,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
133,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
134,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
135,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
136,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
137,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
138,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
139,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
140,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
141,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
142,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
143,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
144,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
145,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
146,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
147,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
148,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
149,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
150,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
151,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
152,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
153,0.59136,1.45728,2.6927999999999996,8.157599999999999,7.735199999999999,6.58416,0.0,3.53232,7.803839999999999,2.5396799999999997,0.68112,7.803839999999999,2.5396799999999997,0.68112,52.79999999999999
